"","Cluster 1","Cluster 2","Cluster 3","Cluster 4","Cluster 5","Total"
"Cluster 1",0,0,1,161,2,164
"Cluster 2",1,0,0,0,185,186
"Cluster 3",0,0,91,11,2,104
"Cluster 4",0,102,2,66,0,170
"Cluster 5",152,0,0,0,0,152
"Cluster 6",1,2,12,85,4,104
"Cluster 7",1,10,83,7,0,101
"Cluster 8",3,145,0,0,0,148
"Cluster 9",142,0,0,0,5,147
"Cluster 10",12,27,24,20,6,89
"Cluster 11",0,5,81,8,0,94
"Cluster 12",3,68,5,3,1,80
"Cluster 13",0,1,12,81,5,99
"Cluster 14",0,1,29,6,38,74
"Cluster 15",60,53,2,0,0,115
"Cluster 16",7,0,0,9,83,99
"Cluster 17",9,0,72,1,1,83
"Cluster 18",3,16,10,67,5,101
"Cluster 19",62,2,0,1,8,73
"Cluster 20",11,0,6,2,65,84
"Cluster 21",1,13,6,44,6,70
"Cluster 22",33,15,28,9,0,85
"Cluster 23",2,18,2,25,22,69
"Cluster 24",1,38,45,1,0,85
"Cluster 25",2,57,16,1,0,76
"Cluster 26",5,3,23,19,0,50
"Cluster 27",9,0,30,5,20,64
"Cluster 28",0,7,23,0,38,68
"Cluster 29",27,2,10,1,11,51
"Cluster 30",3,5,41,1,10,60
"Total",550,590,654,634,517,2945
