Cluster,Distance,Y_name,SGDID,GENE,Chromsome,Start,End,Introns,Exons,Description,
1,0.38,YBL072c,S0000168,RPS8A,II,89116,88514,0,1-603,Ribosomal protein S8A (S14A) (rp19) (YS9),
1,0.75,YBL083c,S0000179,,II,70128,69703,0,1-426,,
1,0.42,YBL087c,S0000183,RPL23A,II,60728,59811,1,"1-42, 547-918",Ribosomal protein L23A (L17aA) (YL32),
1,0.47,YBR009c,S0000213,HHF1,II,255638,255327,0,1-312,Histone H4 (HHF1 and HHF2 code for identical proteins),
1,0.45,YBR010w,S0000214,HHT1,II,256285,256695,0,1-411,Histone H3 (HHT1 and HHT2 code for identical proteins),
1,0.47,YBR031w,S0000235,RPL4A,II,300122,301210,0,1-1089,Ribosomal protein L4A (L2A) (rp2) (YL2),
1,0.58,YBR048w,S0000252,RPS11B,II,332787,333768,1,"1-45, 557-982",Ribosomal protein S11B (S18B) (rp41B) (YS12),
1,0.53,YBR093c,S0000297,PHO5,II,430905,429502,0,1-1404,"Acid phosphatase, repressible",
1,0.5,YBR106w,S0000310,PHO88,II,452613,453179,0,1-567,May be a membrane protein involved in inorganic phosphate transport and regulation of Pho81p function,
1,0.41,YBR118w,S0000322,TEF2,II,477625,479001,0,1-1377,translational elongation factor EF-1 alpha,
1,0.68,YBR188c,S0000392,NTC20,II,604061,603639,0,1-423,splicing factor,
1,0.59,YBR191w,S0000395,RPL21A,II,606224,607094,1,"1-11, 400-871",Ribosomal protein L21A,
1,0.46,YBR206w,S0000410,,II,634556,634879,0,1-324,,
1,0.45,YCL007c,S0000513,CWH36,III,106972,106580,0,1-393,Calcofluor White Hypersensitivity,
1,0.59,YCL018w,S0000523,leu2,III,90935,92029,0,1-1095,beta-IPM (isopropylmalate) dehydrogenase,
1,0.56,YCL030c,S0000535,his4,III,68299,65900,0,Jan-00,histidinol dehydrogenase,
1,0.58,YCLX11w,S0000592,,III,104246,104704,0,1-459,,
1,0.56,YCR012w,S0000605,PGK1,III,137348,138598,0,1-1251,3-phosphoglycerate kinase,
1,0.58,YCR031c,S0000627,RPS14A,III,176946,176226,1,"1-7, 315-721",Ribosomal protein S14A (rp59A),
1,0.73,YDL055C,S0002213,PSA1,IV,356758,355673,0,1-1086,"mannose-1-phosphate guanyltransferase, GDP-mannose pyrophosphorylase",
1,0.5,YDL061C,S0002219,RPS29B,IV,340797,340627,0,1-171,Ribosomal protein S29B (S36B) (YS29),
