"","Process","Function","Gene"
"1","unknown","unknown","YAL022C"
"2","cell cycle","G1/S cyclin","YAL040C"
"3","unknown","unknown","YAL053W"
"4","drug resistance","suppressor of sulfoxyde ethionine","YAL067C"
"5","unknown","unknown","YAR003W"
"6","DNA replication","replication factor A, 69 kD subunit","YAR007C"
"7","tRNA splicing","splicing endonuclease subunit","YAR008W"
"8","unknown","protein kinase","YAR018C"
"9","phosphate metabolism","secreted acid phosphatase","YAR071W"
"10","chromatin structure","histone H2B","YBL002W"
"11","chromatin structure","histone H2A","YBL003C"
"12","unknown","unknown","YBL009W"
"13","DNA replication","MCM initiator complex","YBL023C"
"14","transport","mitochondrial ADP/ATP translocator","YBL030C"
"15","DNA replication","DNA polymerase alpha, 70 kD subunit","YBL035C"
"16","silencing","unknown","YBL052C"
"17","cell wall biogenesis","chitin synthase regulator","YBL061C"
"18","mitosis, spindle assembly","kinesin related protein","YBL063W"
"19","unknown","similar to Tsa1p","YBL064C"
"20","unknown","similar to bacterial NADP/NAD-dependent","YBL098W"
"21","unknown","unknown","YBL100C"
"22","unknown","unknown","YBL111C"
"23","unknown","unknown","YBL112C"
"24","unknown","unknown","YBL113C"
"25","unknown","unknown","YBR007C"
"26","fluconazole resistance","transporter, major facilitator superfamily","YBR008C"
"27","chromatin structure","histone H4","YBR009C"
"28","chromatin structure","histone H3","YBR010W"
"29","cell wall biogenesis","chitin synthase II","YBR038W"
"30","unknown","similar to rat calcium-binding protein regucalcin","YBR053C"
"31","unknown","putative heat shock protein","YBR054W"
"32","stress response (putative)","cell wall mannoprotein","YBR067C"
"33","transport","amino acid permease","YBR069C"
"34","stress response","osmotolerance protein (putative)","YBR070C"
"35","unknown","similar to Herpesvirus saimiri EERF2","YBR071W"
"36","meiosis","helicase","YBR073W"
"37","pseudohyphal growth","trancriptional activator","YBR083W"
"38","unknown","similar to calcium and sodium channel proteins","YBR086C"
"39","DNA replication","DNA polymerase processivity factor","YBR087W"
"40","DNA replication","DNA polymerase processivity factor","YBR088C"
"41","unknown","unknown","YBR089W"
"42","thiamine uptake","acid phosphatase, constitutive","YBR092C"
"43","phosphate metabolism","acid phosphatase, repressible","YBR093C"
"44","unknown","similar to Mec1p and porcine tubulin-tyrosine","YBR094W"
"45","unknown","similar to wheat glutenin, secalin","YBR108W"
"46","cell cycle","Swe1p (kinase) regulator","YBR133C"
"47","meiosis","unknown","YBR138C"
"48","unknown","similar to serine-type carboxypeptidases","YBR139W"
"49","unknown","unknown","YBR157C"
"50","unknown","required for optimal growth","YBR158W"
"51","unknown","similar to Sur1p, Hoc1p, and Och1p","YBR161W"
"52","bud emergence","binds Cdc24p","YBR200W"
"53","DNA replication","MCM initiator complex","YBR202W"
"54","unknown","similar to peroxisomal serine-active lipase","YBR204C"
"55","unknown","unknown","YBR242W"
"56","protein glycosylation","UDP-N-acetyl-glucosamine-1-P transferase (GPT)","YBR243C"
"57","flavin biosynthesis","riboflavin synthase, alpha chain","YBR256C"
"58","unknown","unknown","YBR273C"
"59","unknown","unknown","YBR287W"
"60","unknown","similar to phosphate-repressible phosphate permease","YBR296C"
"61","unknown","unknown","YCL012W"
"62","","","YCL013W"
"63","cell polarity","bud site selection","YCL014W"
"64","unknown","unknown","YCL022C"
"65","unknown","unknown","YCL023C"
"66","unknown","protein kinase","YCL024W"
"67","transport","amino acid permease","YCL025C"
"68","mating; cell fusion","SH3 domain protein","YCL027W"
"69","unknown","unknown","YCL038C"
"70","glycolysis","glucokinase","YCL040W"
"71","unknown","unknown","YCL042W"
"72","protein folding","protein disulfide isomerase","YCL043C"
"73","karyogamy","transcription factor","YCL055W"
"74","","","YCL060C"
"75","unknown","unknown","YCL061C"
"76","","","YCL062W"
"77","unknown","similar to plant aminocyclopropane-1-carboxylate","YCL063W"
"78","unknown","unknown","YCL065W"
"79","transcription","silenced copy at HML; see YCR040W","YCL066W"
"80","","","YCLX09W"
"81","cytokinesis","septin","YCR002C"
"82","rRNA processing","nucleolar protein ","YCR018C"
"83","H+ homeostasis","regulates plasma membrane H+-ATPase","YCR024C-A"
"84","transcription","alpha-specific gene activator","YCR040W"
"85","unknown","unknown","YCR041W"
"86","transcription","TFIID associated factor (TAF)","YCR042C"
"87","transcription (putative)","forkhead family of DNA-binding proteins","YCR065W"
"88","protein folding","peptidyl-prolyl cis-trans isomerase","YCR069W"
"89","","","YCRX05W"
"90","mitosis, sister chromatid cohesion","unknown","YDL003W"
"91","unknown","similar to Ybr014p and glutaredoxins","YDL010W"
"92","unknown","unknown","YDL011C"
"93","membrane trafficking; secretion (putative)","unknown","YDL018C"
"94","unknown","similar to glucan 1,4-alpha-glucosidase","YDL037C"
"95","unknown","unknown","YDL039C"
"96","tRNA splicing","unknown","YDL048C"
"97","mannose metabolism","mannose-1-phosphate guanyltransferase","YDL055C"
"98","unknown","unknown","YDL089W"
"99","protein glycosylation","dolichyl phosphate-D-mannose:protein O-D-mannosyltransferase","YDL093W"
"100","protein glycosylation","dolichyl phosphate-D-mannose:protein O-D-mannosyltransferase","YDL095W"
"101","unknown","unknown","YDL096C"
"102","DNA repair","DNA damage-responsive protein kinase","YDL101C"
"103","DNA replication","DNA polymerase delta catalytic 125 KD subunit","YDL102W"
"104","unknown","unknown","YDL103C"
"105","unknown","unknown","YDL105W"
"106","unknown","unknown","YDL117W"
"107","cell cycle","G1/S cyclin","YDL127W"
"108","transport","vacuolar H+/Ca(2+) exchanger","YDL128W"
"109","transport","glucose permease","YDL138W"
"110","unknown","unknown","YDL156W"
"111","unknown","unknown","YDL157C"
"112","unknown","unknown","YDL163W"
"113","DNA replication and repair","DNA ligase","YDL164C"
"114","unknown","unknown","YDL169C"
"115","cell cycle","cyclin (Pho85p)","YDL179W"
"116","unknown","unknown","YDL180W"
"117","transcription","anti-silencing protein","YDL197C"
"118","unknown","unknown","YDL211C"
"119","homothallic switching endonuclease","","YDL227C"
"120","trehalose metabolism","alpha,alpha-trehalase","YDR001C"
"121","4-nitroquinoline-N-oxide resistance","putative ATP-dependent permease","YDR011W"
"122","unknown","unknown","YDR029W"
"123","unknown","similar to Yro2p","YDR033W"
"124","unknown","unknown","YDR053W"
"125","unknown","similar to members of the Sps2p-Ecm33p-Ycl048p","YDR055W"
"126","unknown","putative cell surface glycoprotein","YDR077W"
"127","mating","cytoskeletal protein, similar to arrestins","YDR085C"
"128","unknown","unknown","YDR089W"
"129","DNA repair","MutS homolog; mismatch repair","YDR097C"
"130","cell cycle","anaphase inhibitor (putative)","YDR113C"
"131","unknown","unknown","YDR130C"
"132","protein degradation","periplasmic aspartyl protease","YDR144C"
"133","cell cycle","transcription factor, regulates HO","YDR146C"
"134","unknown","unknown","YDR149C"
"135","mitosis, nuclear migration","unknown","YDR150W"
"136","unknown","unknown","YDR157W"
"137","unknown","unknown","YDR190C"
"138","silencing (telomere)","similar to nuclear lamins","YDR191W"
"139","chromatin structure","histone H2B","YDR224C"
"140","chromatin structure","histone H2A","YDR225W"
"141","unknown","putative protein kinase","YDR247W"
"142","cell wall biogenesis","exo-beta-1,3-glucanase","YDR261C"
"143","unknown","unknown","YDR276C"
"144","unknown","unknown","YDR279W"
"145","sphingolipid metabolism","hydroxylase","YDR297W"
"146","unknown","similar to GPI-anchor biosynthesis protein PIG-F","YDR302W"
"147","unknown","similar to Pmt1p","YDR307W"
"148","bud emergence","binds Cdc42p","YDR309C"
"149","protein synthesis","ribosomal protein, mitochondrial S28","YDR337W"
"150","transport","hexose permease","YDR342C"
"151","unknown","unknown","YDR346C"
"152","pyrimidine biosynthesis","thioredoxin reductase","YDR353W"
"153","unknown","unknown","YDR355C"
"154","cytoskeleton","spindle pole body component","YDR356W"
"155","unknown","similar to aldo-keto reductases","YDR368W"
"156","unknown","similar to pyruvate decarboxylase, pyruvate","YDR380W"
"157","unknown","similar to E. coli protein","YDR400W"
"158","mRNA export; protein import","nuclear shuttling protein","YDR432W"
"159","meiosis, checkpoint; transcriptional silencing ","unknown","YDR440W"
"160","chromatin structure","histone acetyltransferase complex subunit","YDR448W"
"161","unknown","similar to Yox1p, which binds Leu-tRNA (SP:P34161)","YDR451C"
"162","mating","a-factor precursor","YDR461W"
"163","phosphate metabolism","vacuolar alkaline phosphatase","YDR481C"
"164","unknown","unknown","YDR488C"
"165","unknown","unknown","YDR493W"
"166","unknown","unknown","YDR501W"
"167","phospholipid metabolism","lipid phosphate phosphatase","YDR503C"
"168","cell cycle (growth inhibitor)","protein kinase","YDR507C"
"169","unknown","unknown","YDR528W"
"170","unknown","similar to subtelomerically-encoded proteins","YDR545W"
"171","unknown","unknown","YEL017W"
"172","unknown","unknown","YEL025C"
"173","DNA replication","MCM initiator complex","YEL032W"
"174","unknown","unknown","YEL040W"
"175","Golgi organization","Golgi membrane guanosine diphosphatase","YEL042W"
"176","unknown","putative fumarate reductase","YEL047C"
"177","protein degradation","vacuolar protease B","YEL060C"
"178","mitosis, spindle maintenance","kinesin related protein","YEL061C"
"179","unknown","similar to members of the major facilitator","YEL064C"
"180","unknown","similar to hexose transporters, member of","YEL065W"
"181","unknown","unknown","YEL068C"
"182","unknown","similar to other subtelomerically-encoded proteins","YEL075C"
"183","unknown","similar to other subtelomerically-encoded proteins","YEL076C"
"184","unknown","unknown","YEL076C-A"
"185","protein glycosylation","alpha-1,3-mannosyltransferase","YER001W"
"186","mannose metabolism","mannose-6-phosphate isomerase","YER003C"
"187","cytoskeleton","microtubule binding protein","YER016W"
"188","cytoskeleton","spindle pole body component","YER018C"
"189","unknown","similar to mammalian neutral","YER019W"
"190","mRNA 3'-end processing","unknown","YER032W"
"191","oxidative stress response","peptide-methionine sulfoxide reductase","YER042W"
"192","DNA replication","ribonucleotide reductase","YER070W"
"193","methionine biosynthesis","homocysteine methyltransferase","YER091C"
"194","DNA repair and recombination","recombinase","YER095W"
"195","cell cycle","transcription factor","YER111C"
"196","signaling, high osmolarity pathway","transmembrane osmosensor","YER118C"
"197","unknown","unknown","YER124C"
"198","transport","iron permease","YER145C"
"199","mating","unknown","YER149C"
"200","unknown","similar to Sed1p","YER150W"
"201","unknown","unknown","YER152C"
"202","purine metabolism","adenylate kinase,","YER170W"
"203","unknown","similar to subtelomerically-encoded proteins","YER189W"
"204","unknown","similar to other subtelomerically-encoded proteins","YER190W"
"205","unknown","unknown","YFL006W"
"206","mitosis, chromosome condensation and segregation","unknown","YFL008W"
"207","transport","hexose permease","YFL011W"
"208","mating","alpha-factor receptor","YFL026W"
"209","cytoskeleton","beta-tubulin","YFL037W"
"210","unknown","unknown","YFL044C"
"211","unknown","unknown; induced in stationary phase","YFL060C"
"212","unknown","similar to other subtelomerically-encoded proteins","YFL064C"
"213","unknown","similar to other subtelomerically-encoded proteins","YFL065C"
"214","unknown","similar to other subtelomerically-encoded proteins","YFL066C"
"215","unknown","similar to periodic clock protein","YFL067W"
"216","nuclear protein targeting","nuclear pore protein","YFR002W"
"217","glycogen metabolism","glycogen synthase","YFR015C"
"218","mitosis, sister chromatid cohesion (putative)","unknown","YFR027W"
"219","sulfate assimilation","sulfite reductase subunit","YFR030W"
"220","unknown","unknown","YFR039C"
"221","H+ homeostasis","plasma membrane H+-ATPase","YGL008C"
"222","DNA repair (putative)","DNA damage-responsive protein","YGL021W"
"223","cell wall biogenesis","beta-1,6-glucan assembly protein","YGL027C"
"224","unknown","unknown","YGL028C"
"225","mating","a-agglutinin binding subunit","YGL032C"
"226","unknown","unknown","YGL037C"
"227","protein glycosylation","membrane-bound mannosyltransferase","YGL038C"
"228","unknown","unknown","YGL055W"
"229","unknown","unknown","YGL060W"
"230","unknown","unknown","YGL061C"
"231","mating","alpha factor","YGL089C"
